Metric,Value
ir__voltage__worst,1.8000000000000000444089209850062616169452667236328125
ir__drop__avg,0.000032900000000000000099399655173471046509803272783756256103515625
ir__drop__worst,0.000099799999999999999930784533308525396932964213192462921142578125
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
