net,length_um
u_input_fifo.mem\[8\]\[2\],23.46
_0734_,23.34
u_input_fifo.mem\[2\]\[15\],23.3
u_input_fifo.mem\[4\]\[11\],23.26
_1199_,23.18
_0923_,22.92
u_viterbi_core.u_tbu.history_s2\[3\],22.88
_1526_,22.8
u_viterbi_core.u_tbu.history_s1\[11\],22.76
u_input_fifo.mem\[6\]\[3\],22.74
u_input_fifo.rd_data_o\[5\],22.62
u_input_fifo.mem\[13\]\[7\],22.6
_1105_,22.595
u_viterbi_core.u_tbu.latency_counter\[2\],22.34
u_input_fifo.mem\[15\]\[13\],22.3
_0917_,22.14
u_input_fifo.mem\[15\]\[11\],22.14
_0675_,22.04
_1030_,22.04
_1191_,21.9
u_input_fifo.mem\[2\]\[14\],21.88
u_viterbi_core.pm_curr_s2\[0\],21.73
_1311_,21.7
_1471_,21.66
u_input_fifo.mem\[15\]\[15\],21.66
_0685_,21.64
u_input_fifo.mem\[7\]\[1\],21.56
u_input_fifo.mem\[6\]\[13\],21.54
_1523_,21.48
u_viterbi_core.u_tbu.history_s1\[6\],21.32
_1221_,21.24
_1418_,21.22
u_input_fifo.mem\[15\]\[2\],21.2
_0955_,21.1
_1279_,21.08
_1021_,21
u_viterbi_core.u_tbu.history_s0\[10\],20.98
_0818_,20.92
_1398_,20.92
_0713_,20.9
u_input_fifo.rd_data_o\[13\],20.86
_1285_,20.84
u_viterbi_core.u_tbu.pipeline_full,20.84
u_viterbi_core.u_tbu.history_s0\[8\],20.64
u_input_fifo.mem\[11\]\[11\],20.58
_0747_,20.56
_1277_,20.54
_0787_,20.38
u_input_fifo.mem\[5\]\[5\],20.3
_1016_,20.28
u_input_fifo.mem\[11\]\[2\],20.12
_0742_,20.1
u_viterbi_core.pm_curr_s3\[4\],20.09
u_input_fifo.mem\[1\]\[12\],20.08
_0993_,19.98
_1270_,19.98
_1371_,19.98
u_input_fifo.mem\[1\]\[10\],19.88
u_input_fifo.mem\[15\]\[12\],19.78
_0789_,19.76
_1376_,19.74
u_input_fifo.mem\[1\]\[5\],19.7
_0924_,19.66
_0932_,19.64
_0644_,19.62
u_viterbi_core.u_tbu.history_s1\[4\],19.62
_1282_,19.6
u_input_fifo.mem\[4\]\[1\],19.56
u_viterbi_core.u_tbu.history_s3\[8\],19.44
_0000_,19.4
_1013_,19.4
_1033_,19.3
_0985_,19.24
u_viterbi_core.u_tbu.history_s1\[13\],19.02
_0890_,18.98
_1009_,18.975
_1111_,18.86
_0635_,18.82
_1296_,18.76
u_viterbi_core.u_tbu.history_s2\[0\],18.76
_1107_,18.7
u_input_fifo.rd_data_o\[6\],18.7
_0896_,18.64
_1067_,18.62
u_input_fifo.mem\[3\]\[15\],18.62
u_viterbi_core.u_tbu.history_s0\[14\],18.56
_0934_,18.54
_1298_,18.54
_1288_,18.48
u_input_fifo.mem\[9\]\[11\],18.46
u_input_fifo.mem\[5\]\[13\],18.405
u_viterbi_core.u_tbu.history_s3\[5\],18.36
u_viterbi_core.u_tbu.history_s3\[13\],18.34
_0975_,18.32
_0772_,18.26
u_viterbi_core.u_tbu.history_s0\[12\],18.24
net42,18.24
u_input_fifo.rd_data_o\[4\],18.22
_0792_,18.06
_1036_,18.06
_0689_,18.02
u_input_fifo.mem\[8\]\[3\],18.02
u_piso.shift_reg\[8\],18.02
u_viterbi_core.u_tbu.history_s2\[8\],18.02
_1119_,17.9
u_input_fifo.mem\[1\]\[0\],17.84
u_viterbi_core.pm_curr_s0\[0\],17.84
u_viterbi_core.u_tbu.history_s0\[5\],17.84
net30,17.82
u_viterbi_core.u_tbu.history_s3\[4\],17.74
u_viterbi_core.u_tbu.history_s3\[10\],17.7
_0745_,17.6
net44,17.58
u_input_fifo.mem\[9\]\[4\],17.56
u_input_fifo.mem\[5\]\[4\],17.48
_0820_,17.46
_1048_,17.4
